Reg. #/ File Sym,Physcial Form.,Product Name (PBN),Use,Use Site,"App.
Target","App.
Type","App.
Equipment","App.
Timing (Site Status)","App.
Timing (other)","A.I.
Max Single Rate
/ App. (lb a.i./A)","Max # Apps
/ C.C.","A. I.
Max Total Rate
/ C.C. (lb a.i./A","Max # Apps
/ Yr.","A. I.
Max Total Rate
/ Yr. (lb a.i./A)","MRI
(days)",PHI (days),Additional Information,Max No. of CC/yr,Geographic Restrictions,Drift Restrictions,Soil Restrictions,On-field Non-target Species Restrictions,Additional Restrictions for Use/Use Site
264-1198,SL,SIVANTO 400 SL,Bushberry (subgroup 13-07B),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,3,Minimum Application Volume: 25 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Bushberry (subgroup 13-07B),Agricultural (Outdoor),Soil,Chemigation/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Drench at transplanting",Post-emergence,When pests occur,0.183,NS,0.365,NS,1.095,NS,30,"May be applied at the specified dosage by the following methods: Potting hole drench at transplanting; Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment",3,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,,,Not commercial product.
264-1198,SL,,Blueberry,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,3,30,Minimum Application Volume: 25 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Caneberry (subgroup 13-07A),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,0,Start sprays at early bloom through 7 days after petal fall.                                           Minimum Application Volume: 30 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"Start sprays at early bloom through 7 days after petal fall. NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,"Cereal Grains (CG 15), Forage, Fodder and Straw of Cereal Grains (CG 16) and Quinoa (including production for seed)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,"7-days hay, forage, sorghum grown for syrup, or sweet corn; 21-days dried grain, stover or straw",Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Christamas Trees,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,NS,NS,NS,7,NS,Start treatments when pests are 1st detected. Use the higher rate for higher pest infestation levels                                            Minimum Application Volume: 25 Gallons/Acre - Ground; 10 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Citrus Fruit (CG 10-10),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,1,"Minimum Application Volume: 50 Gal/A - Ground; 10 Gal/A - Aerial; For Florida only- Min. Application Volume: 2.5 Gal/A | Ground; For Florida and Texas only: Min. Application Volume: 3 Gal/A | Aerial for control of Asian citrus psyllid. For control or suppression of other pests, application volumes should be
increased to provide thorough and complete coverage to obtain adequate control.",1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Citrus Fruit (CG 10-10),Agricultural (Outdoor),Soil,Chemigation/ Shank injection/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler, Shank or subsurface side-dress injection; Basal drench",Post-emergence,When pests occur,0.365,1,0.365,1,0.365,NS,30,"Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Basal drench in sufficient water to move into root zone; Shank or subsurface side-dress, injected to a depth just above or just within the root zone and between the trunk and drip line of the tree canopy. Apply product in a min. of 10 gals/A using multiple shanks on both sides of trees. Ensure product placement is below sod or orchard floor debris. Irrigation covering entire treated area should follow within 48 hours to promote uptake by root system",1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,,,Not commercial product.
264-1198,SL,SIVANTO 400 SL,"Clover (Grown for Forage, Fodder, Seed, Straw, and Hay)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,14,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"Only For Use in: Idaho, Oregon, and Washington.NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.","DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; Only For Use in: Idaho, Oregon, and Washington. Not commercial product."
264-1198,SL,SIVANTO 400 SL,Cottonseed (Subgroup 20c) Including production for Seed,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,14,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Cucurbit Vegetables (CG 9) Planthouse,Planthouse/ Nursery (Inside),Foliar,Broadcast/ Drench,tray drench; uniform high-volume foliar spray followed by overhead irrigation wash; injection into overhead irrigation,Post-emergence,When pests occur,"0.17 fl oz/ 10,000 plants (0.011 lb ai)",1,"0.17 (fl oz/ 10,000 plants); 0.365 lb ai/A for total planthouse",NS,0.365,NS,21,"Apply specified dosage to seedlings in trays in the planthouse, targeting potting media (tray drench) between 24 hours and 7 days prior to transplanting, in one of the following methods: Uniform, broadcast high-volume foliar spray, followed by overhead irrigation wash; injection into overhead irrigation system; An additional field application must be made within 2 weeks following transplanting to provide continuous protection.",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.","Only for use on seedlings intended as transplants. Not for use in greenhouses; Apply specified dosage to seedlings in trays in the planthouse, targeting potting media (tray drench) between 24 hours and 7 days prior to transplanting. Not commercial product."
264-1198,SL,SIVANTO 400 SL,Cucurbit Vegetables (CG 9),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,1,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.","Do not apply as a foliar application to muskmelon (hybrids and/or cultivars of Cucumis melo including true cantaloupe, cantaloupe, casaba, Crenshaw melon, golden pershaw melon, honeydew melon, honey balls, mango melon, Persian melon, pineapple melon, Santa Claus melon, and snake melon). DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product."
264-1198,SL,SIVANTO 400 SL,Cucurbit Vegetables (CG 9),Agricultural (Outdoor),Soil,Chemigation/ Injection/ Drench,"chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection prior to planting; Potting Drench; Post-transplant drench",Pre-emergence/ Post-emergence,When pests occur,0.365,NS,0.365,3,1.095,NS,21,"May be applied at the specified dosage by the following methods: Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection below the eventual seed line prior to planting.Place product  3-4 inches below seed line; Potting hole drench at transplanting; Post-transplant drench following setting and covering",3,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,For injection: Place 3-4 inches below seed line,,Not commercial product.
264-1198,SL,SIVANTO 400 SL,Fruiting Vegetables (CG 8-10) Planthouse,Planthouse/ Nursery (Inside),Foliar,Broadcast/ Drench,tray drench; uniform high-volume foliar spray followed by overhead irrigation wash; injection into overhead irrigation,Post-emergence,When pests occur,"0.34 fl oz/ 10,000 plants (0.011 lb ai)",1,"0.34 fl oz/ 10,000 plants (0.011 lb ai); 0.365 lb ai/A for total planthouse + foliar",NS,1.095,NS,45,"Apply specified dosage to seedlings in trays in the planthouse, targeting potting media (tray drench) between 24 hours and 7 days prior to transplanting, in one of the following methods: Uniform, broadcast high-volume foliar spray, followed by overhead irrigation wash; injection into overhead irrigation system; An additional field application must be made within 2 weeks following transplanting to provide continuous protection.",3,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,N/A,,"Only for use on seedlings intended as transplants. Not for use in greenhouses; Apply specified dosage to seedlings in trays in the planthouse, targeting potting media (tray drench) between 24 hours and 7 days prior to transplanting. Not commercial product"
264-1198,SL,SIVANTO 400 SL,Fruiting Vegetables (CG 8-10),Agricultural (Outdoor),Soil,Chemigation/ Injection/ Drench,"chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection prior to planting; Potting Drench; Post-transplant drench",Pre-emergence/ Post-emergence,When pests occur,0.365,1,0.365,3,1.095,NS,45,"May be applied at the specified dosage by the following methods: Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equv. equipment; Injection below the eventual seed line prior to planting. Place product 3-4 inches below seed line; Potting hole drench at transplanting; Post-transplant drench following setting and covering",3,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,For injection: Place SIVANTO 200 SL 3-4 inches below seed line,,Not commercial product.
264-1198,SL,SIVANTO 400 SL,Fruiting Vegetables (CG 8-10),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,1,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Hop,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.14,1,0.14,1,0.14,NS,21,Minimum Application Volume: 25 Gallons/Acre - Ground; 10 Gallons/Acre - Aerial,,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Kava,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NA,0.365,NS,1.095,10,7,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,3,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Leafy Vegetables - Except Brassica Vegetables (CG 4),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,1.095,7,1,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,3,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Leafy Vegetables -Except Brassica Vegetables (CG 4),Agricultural (Outdoor),Soil,Chemigation/ Injection/ Drench,"chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection prior to planting; Potting Drench; Post-transplant drench",Post-emergence,When pests occur,0.365,1,0.365,3,1.095,NS,21,"May be applied at the specified dosage by the following methods: Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equv. equipment; Injection below the eventual seed line prior to planting. Place product 3-4 inches below seed line; Potting hole drench at transplanting; Post-transplant drench following setting and covering",3,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,For injection: Place 3-4 inches below seed line,,DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
264-1198,SL,SIVANTO 400 SL,Legume Vegetables (Succlent or Dried) (CG 6) and Foliage of Legume Vegetables for Animal Feed (CG 7),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,"7-days Forage, Leaves, Vines, Pods, Cutting for Hay, or Seed (fresh or dry, except dry soybean seed); 21-days dry soybean seed",Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State. Not commercial product.
